tobblet_id;tobblet_eszkoznev;tobblet_muszakicsop;toblet_muszakicsopnev
31228;Tárgyalóasztal Cseresznye;BA0701;Tárgyalóasztal klf.
31236;Favázas támlásszék;BU0601;Favázas támlásszék
31226;Favázas támlásszék Cseresznye;BU0601;Favázas támlásszék
31287;Számítógépasztal;BA0600;Számítógépasztal
31290;Étkező asztal 6. személyes Bükk;BA0202;Étkező asztal 6. személyes
31106;Számítógépasztal  Bükk;BA0600;Számítógépasztal
25029;Külsö lövedékálló mellény;EF0402;Külső viselésű lövedékálló mellény
25670;Számítógépasztal;BA0600;Számítógépasztal
25108;Görgős iratszekrény;BS0603;Görgős irattároló
25117;1 ajtós akasztós szekrény;BS0103;1 ajtós akasztós szekrény
25104;Forgatható karosszék;BU0501;Irodai forgószék
25044;1 ajtós iratszekrény;BS9920;Szekrény egyéb klf.
25019;1 ajtós iratszekrény;BS0102;1. ajtós szekrény
24982;1 ajtós irat szekrény;BS0102;1. ajtós szekrény
24970;2 ajtós vitrines szekrény;BS9925;Üveges szekrény
24764;Gorenje RK 611 PW4 kombinálthűtő;EH0204;Háztartási hűtőszekrény
24786;Lövedékálló mellény Milipol ADJ-H32/XXL;EF0406;Rejtett viselésű lövedékálló mellény
29817;1. ajtós akasztós szekrény Bükk;BS0102;1. ajtós szekrény
29828;Konyhabútor alsó rész;BS0703;Konyhabútor alsó rész
29819;Irattároló fémszekrény 4 polcos;BS0902; 1. ajtós vaslemez iratszekrény
29813;Delonghi Kávéfőző;EH0103;Kávéfőző
29812;Gorenje hűtőszekrény;EH0204;Háztartási hűtőszekrény
29815;1. ajtós polcos  szekrény Bükk;BS0102;1. ajtós szekrény
25705;1 AJTÓS FELSŐSZEKRÉNY BÜKK (DB);BS0501;1. ajtós felső szekrény
26739;Gorenje hűtőszekrény;EH0204;Háztartási hűtőszekrény
25716;1 AJTÓS IRATSZEKRÉNY cseresznye (DB);BS0102;1. ajtós szekrény
25711;VEZETŐI  2 AJTÓS AKASZTÓS SZEKRÉNY (NNYI;BS0102;1. ajtós szekrény
25720;GÖRGŐS IRATSZEKRÉNY cseresznye (DB)l;BS0603;Görgős irattároló
25714;2 AJTÓS VEZETŐI FELSŐSZEKRÉNY (NNYI);BS0202;2. ajtós szekrény
26088;1 ajtós felső szekrény bükk;BS0501;1. ajtós felső szekrény
26067;támlás szék bordó kárpittal;BU0601;Favázas támlásszék
31119;1 ajtós akasztós szekrény Bükk;BS0103;1 ajtós akasztós szekrény
31117;1 ajtós polcos szekrény Bükk;BS0103;1 ajtós akasztós szekrény
31312;Íróasztal Bükk;BA0302;Kisméretű íróasztal
31215;Favázas támlásszék;BU0601;Favázas támlásszék
31220;Éjjeli szekrény Bükk;BS9903;Éjjeli szekrény
31209;1. ajtósakasztós  szekrény Bükk;BS0102;1. ajtós szekrény
31206;Görgős irattároló  Bükk;BS0603;Görgős irattároló
31204;Íróasztal 134cm  Bükk;BA0302;Kisméretű íróasztal
24973;Tárgyalóasztal;BA0701;Tárgyalóasztal klf.
24954;Kulcstartó szekrény fém;BS9920;Szekrény egyéb klf.
24951;90 fokos ív;BA0401;Íves elem klf.
24910;Görgős irattartó;BS0603;Görgős irattároló
24919;Favázas támlásszék;BU0601;Favázas támlásszék
24903;örgős iratszekrény;BS0603;Görgős irattároló
24892;Fémvázas támlásszék;BU0603;Fémvázas támlásszék
25683;Konyhaszekrény alsó;BS0712;Konyhaszekrény elem
25688;Philips vízforraló;EH0501;Vízforraló
25689;Zanussi hűtőszekrény;EH0204;Háztartási hűtőszekrény
25690;Hausmeister mikróhullámú sütő;EH0303;Mikrohullámú sütő klf. egyéb
29854;2. ajtós felső szekrény cseresznye;BS0502;2. ajtós felső szekrény
24826;Lövedékálló mell. Milipol ADJ-H32-K/XXL;EF0406;Rejtett viselésű lövedékálló mellény
24755;Lövedékálló mellény Milipol ADJ-H32/S;EF0406;Rejtett viselésű lövedékálló mellény
24752;Lövedékálló mell. Milipol ADJ-H32-K / XS;EF0406;Rejtett viselésű lövedékálló mellény
24747;Lövedékálló mell. Milipol ADJ-H32/S;EF0406;Rejtett viselésű lövedékálló mellény
24827;Lövedékálló mell. Milipol ADJ-H32-K/XS;EF0406;Rejtett viselésű lövedékálló mellény
29841;Vezetői forgószék bőr;BU0701;Vezetői forgószék
29856;TÁMLÁS SZÉK cseresznye, bordó kárpittal;BU0601;Favázas támlásszék
29842;Görgős irattároló Cseresznye;BS0603;Görgős irattároló
29845;Vezetői íróasztal Cseresznye;BA0305;Nagyméretű íróasztal
29806;1. ajtós akasztós szekrény;BS0102;1. ajtós szekrény
29805;Fémvázas támlásszék bordó szövet;BU0603;Fémvázas támlásszék
29802;Irodai forgószék;BU0501;Irodai forgószék
29803;Íróasztal 134 cm Bükk;BA0302;Kisméretű íróasztal
28150;De Longi kávéfőző EC5.1;EH0103;Kávéfőző
28141;Konyhabútor alsó rész;BS0703;Konyhabútor alsó rész
28153;Vízforraló Philips HD9350/91;EH0501;Vízforraló
28147;Gorenje háztartási hűtőszekrény;EH0204;Háztartási hűtőszekrény
28149;Szendvicssütő Sencor SSM 4220SS;EH9707;Szendvicssűtő
29211;1. ajtós felső szekrény;BS0501;1. ajtós felső szekrény
29455;Fémvázas támlásszék;BU0603;Fémvázas támlásszék
27480;Mikrohullámú sütő Hausmeister;EH0303;Mikrohullámú sütő klf. egyéb
27487;KONYHASZEKRÉNY ALSÓ RÉSZ;BS0703;Konyhabútor alsó rész
31160;Szarvasi Kávéfőző;EH0103;Kávéfőző
30404;Fényhíd, Federal Signal (MZA-033);JT9901;Egyéb gépjármű  tartozék, alkatrész
29408;De Longi kávéfőző EC5.1;EH0103;Kávéfőző
29309;Mikrohullámú sütő Hausmeister Diana;EH0303;Mikrohullámú sütő klf. egyéb
30407;ADJ-H32 L3/K2 REJTETT. LÖV. MELLÉNY;EF0406;Rejtett viselésű lövedékálló mellény
30409;ADJ-H32 L3/K2 REJTETT. LÖV. MELLÉNY;EF0406;Rejtett viselésű lövedékálló mellény
30413;ADJ-H32 L3/K2 KÜLSŐ LÖV. MELLÉNY;EF0402;Külső viselésű lövedékálló mellény
30411;ADJ-H32 L3/K2 KÜLSŐ  LÖV. ÁLLÓ MELLÉNY;EF0402;Külső viselésű lövedékálló mellény
30412;ADJ-H32 L3/K2 KÜLSŐ LÖV. ÁLLÓ MELLÉNY;EF0402;Külső viselésű lövedékálló mellény
30381;ADJ-H32 Rejtett Löv. Álló Mellény;EF0406;Rejtett viselésű lövedékálló mellény
24350;"Garmin GPS 7.0""Navigációs készülék";SS9901;GPS navigációs eszköz
24326;Dahle iratmegsemmisítő;KI0400;Iratmegsemmisítő
24362;DD Optics Pirschler 8x45 Gen 3 távcső;EE1102;Éjjellátó figyelő-felderítő eszközök
24508;Xerox Versalink C7025 m. nyomt.;SN0699;Multifunkciós nyomtató egyéb
27108;Favázas támlásszék szövet kárpittal;BU0601;Favázas támlásszék
26385;1. ajtós felső szekrény;BS0501;1. ajtós felső szekrény
26387;Vízforraló, Philips;EH0502;Vizmelegítő
25076;Sarokelem;BA9913;Egyéb asztal klf.
25059;Favázas támlásszék szövet kárpitta;BU0601;Favázas támlásszék
25652;1 ajtós iratszekrény;BS0102;1. ajtós szekrény
28148;Mikrohullámú sütő Hausmeister Diana;EH0303;Mikrohullámú sütő klf. egyéb
27540;Kulcsdoboz szekrény;BS9912;Kulcstartó szekrény
27594;2 ajtós felső szekrény cseresznye;BS0502;2. ajtós felső szekrény
25387;SZÁMÍTÓGÉPASZTAL BÜKK (DB);BA0600;Számítógépasztal
25836;íróasztal 134 cm bükk;BA0302;Kisméretű íróasztal
25407;GÖRGŐS IRATSZEKRÉNY BÜKK (DB);BS0603;Görgős irattároló
26377;2. ajtós polcos szekrény;BS0202;2. ajtós szekrény
26382;2. ajtós felső szekrény;BS0502;2. ajtós felső szekrény
26365;Vezetői forgószék, bőr;BU0701;Vezetői forgószék
27110;Külső lövedékálló mellény;EF0402;Külső viselésű lövedékálló mellény
26741;Lövedékálló mellény külső;EF0402;Külső viselésű lövedékálló mellény
26740;Külső lövedékálló mellény;EF0402;Külső viselésű lövedékálló mellény
26836;KAZETTÁS MAGNÓ (DB);KH0103;Kazettás magnó
27071;1 ajtós felsőszekrény;BS0501;1. ajtós felső szekrény
25539;Görgős irattároló;BS0603;Görgős irattároló
28283;GÖRGŐS IRATSZEKRÉNY vezetői, cseresznye;BS0604;Görgős irattároló asztal melletti
28274;Felső szekrény 2 ajtós cseresznye;BS0502;2. ajtós felső szekrény
27473;De Longi kávéfőző EC5.1;EH0103;Kávéfőző
25226;2 AJTÓS FELSŐSZEKRÉNY cseresznye;BS0502;2. ajtós felső szekrény
25223;GÖRGŐS IRATSZEKRÉNY CSERESZNYE (DB);BS0603;Görgős irattároló
25231;Lövedékálló mellény ADJ-H32/XXL;BS0102;1. ajtós szekrény
26837;Konyhaszekrény alsó mosogatóval;BS0703;Konyhabútor alsó rész
26845;hausmeister mikró;EH0303;Mikrohullámú sütő klf. egyéb
25664;Gorenje mikróhullámú sütö;EH0303;Mikrohullámú sütő klf. egyéb
28776;DJI DRÓN+ TARTOZÉK;EE1110;Egyéb optikai eszközök
28781;VOLTCRAFT TS-500 mérleg;EH1202;Digitális Mérleg
28780;VOLTCRAFT TS-500mérleg;EH1202;Digitális Mérleg
27719;Transcend TS8XDV Külső DVD író;SE9900;Egyéb számítástechnikai eszköz
27686;KÖR VAKU NIKON;KK0804;Vaku
27699;ACER V246HL monitor;SS0299;Monitor egyéb
29886;Dohányzó asztal klf.;BA0101;Dohányzó asztal klf.
29905;2. ajtós szekrény;BS0202;2. ajtós szekrény
29893;Tárgyalóasztal klf.;BA0701;Tárgyalóasztal klf.
29870;Kisméretű íróasztal;BA0302;Kisméretű íróasztal
28349;1 AJTÓS AKASZTÓS SZEKRÉNY, bükk;BS0103;1 ajtós akasztós szekrény
28350;1 AJTÓS IRATSZEKRÉNY BÜKK (DB);BS0102;1. ajtós szekrény
29562;Külső HDD Seagate 2TB;SE1402;HDD > 500 GB
29116;Külső HDD Toshiba  4TB Canvio Basic;SE1402;HDD > 500 GB
29545;Külső HDD SEAGATE Expansion 2TB;SE1402;HDD > 500 GB
28431;1 AJTÓS IRATSZEKRÉNY BÜKK (DB);BS0103;1 ajtós akasztós szekrény
26239;görgős iratszekrény bükk;BS0603;Görgős irattároló
25734;DeLonghi kávéfőző;EH0103;Kávéfőző
25731;ÁLLÓ VENTILÁTOR;EE1302;Álló ventilátor
26185;bükk támlás szék szövet kárpittal;BU0601;Favázas támlásszék
29115;Külső HDD WD Elements 1TB;SE1402;HDD > 500 GB
30211;Dahle iratmegsemmisítő;KI0400;Iratmegsemmisítő
27475;Sencor Szendvicssűtő;EH9707;Szendvicssűtő
24817;Páncélszekrény;BS0906;Páncélszekrény
24875;AN-UP 2016 L4/K2 külső löv.álló mellény;EF0402;Külső viselésű lövedékálló mellény
27185;GÖRGŐS IRATSZEKRÉNY BÜKK (DB);BS0603;Görgős irattároló
27182;Dohányzóasztal cseresznye;BA9913;Egyéb asztal klf.
27181;Üveges szekrény 4 ajtós;BS9925;Üveges szekrény
27150;Állványos elekt. kézfertőtlenítő adagoló;EL0000;Labortechnikai eszközök
27314;Fémvázas támlásszék;BU0603;Fémvázas támlásszék
27310;Éjjeli szekrény;BS9903;Éjjeli szekrény
27208;ADJ-H32 L3/K2 külső löv.mell XL;EF0402;Külső viselésű lövedékálló mellény
27205;ADJ-H32-K L3/K2 külső löv.mell L;EF0402;Külső viselésű lövedékálló mellény
27890;Samsung LCD MONITOR;SS0202;Monitor LCD
27893;Kézfertőtlenítő álványos;BE0303;Állvány egyéb
28803;ADJ-H32-K L3/K2 rejtett lövedékálló mell;EF0406;Rejtett viselésű lövedékálló mellény
27481;Mikrohullámú sütő Hausmeister;EH0303;Mikrohullámú sütő klf. egyéb
27470;Irattároló fémszekrény 4 polcos;BS9906;Fém szekrény klf.
26213;GORENJE RB4092  hűtőszekrény;EH0204;Háztartási hűtőszekrény
27034;Lövedékálló mellény Milipol ADJ-H32/M;EF0406;Rejtett viselésű lövedékálló mellény
27031;Lövedékálló mellény Milipol ADJ-H32/3XL;EF0406;Rejtett viselésű lövedékálló mellény
27032;Lövedékálló mellény Milipol ADJ-H32/2XL;EF0406;Rejtett viselésű lövedékálló mellény
25374;1 AJTÓS IRATSZEKRÉNY BÜKK (DB);BS0103;1 ajtós akasztós szekrény
25366;1 AJTÓS AKASZTÓS SZEKRÉNY CSERESZNYE (DB;BS0103;1 ajtós akasztós szekrény
25362;2 AJTÓS FELSŐ  IRATSZEKRÉNY CSERESZNYE;BS0202;2. ajtós szekrény
25351;Vezetői íróasztal cseresznxe;BA0305;Nagyméretű íróasztal
25365;1 AJTÓS IRATSZEKRÉNY CSERESZNYE (DB);BS0103;1 ajtós akasztós szekrény
25352;Vezetői tárgyalóasztal cseresznye;BA0305;Nagyméretű íróasztal
28886;Görgős irattároló szekrény;BS0603;Görgős irattároló
28887;Számítógépasztal;BA0600;Számítógépasztal
28889;Asztalilámpa;KI0100;Asztali-,állólámpa, csillár
28856;Görgős irattároló;BS0603;Görgős irattároló
28857;90 fokos ív;BA0401;Íves elem klf.
28865;1. ajtós vaslemez iratszekrény;BS0902; 1. ajtós vaslemez iratszekrény
28861;1. ajtós felső szekrény;BS0501;1. ajtós felső szekrény
28873;Irodai forgószék;BU0501;Irodai forgószék
28859;1. ajtós szekrény polcos;BS0102;1. ajtós szekrény
28969;Álló ruhafogas;BE0201;Álló ruhafogas klf.
28968;Számítógépasztal Bükk;BA0600;Számítógépasztal
28959;Számítógépasztal Bükk;BA0600;Számítógépasztal
28962;Görgős irattároló szekrény Bükk;BS0603;Görgős irattároló
28963;Íróasztal 134 cm Bükk;BA0302;Kisméretű íróasztal
28956;1. ajtós polcos szekrény;BS0501;1. ajtós felső szekrény
27805;Bordó szövet kárpitos görgős szék;BS0102;1. ajtós szekrény
27047;1 ajtós felső szekrény;BS0501;1. ajtós felső szekrény
27038;GÖRGŐS IRATSZEKRÉNY;BS0603;Görgős irattároló
27042;íróasztal 134 cm;BA0302;Kisméretű íróasztal
27040;90 fokos ív;BA0401;Íves elem klf.
25312;GÖRGŐS IRATSZEKRÉNY CSERESZNYE;BS0603;Görgős irattároló
25328;2 AJTÓS FELSŐSZEKRÉNY cseresznye;BS0502;2. ajtós felső szekrény
25902;1 ajtós iratszekrény bükk;BS0102;1. ajtós szekrény
28944;Íróasztal Bükk;BA0302;Kisméretű íróasztal
28917;1. ajtós alsószekrény polcos;BS0102;1. ajtós szekrény
28918;1. ajtós felsőszekrény;BS0501;1. ajtós felső szekrény
28843;90 fokos ív;BA0401;Íves elem klf.
28510;90 fokos ív bükk;BA0401;Íves elem klf.
28278;Fujitsu számítógép BRFK tulajdon;SS0100;Asztali számítógép
28143;Kenyérpirító;EH9800;Egyéb konyhai felszerelés
28474;Lövedékálló mellény Milipol ADJ-H32 L;BS9906;Fém szekrény klf.
28550;Gorenje  hűtőszekrény;EH0204;Háztartási hűtőszekrény
25130;Vízforraló Philips;EH0501;Vízforraló
25132;De Longi kávéfőző;EH0103;Kávéfőző
25125;Háztartási hűtőszekrény Gorenje;EH0204;Háztartási hűtőszekrény
25124;Háztartási hűtőszekrény Gorenje;EH0204;Háztartási hűtőszekrény
25127;Konyhabútor alsó rész;BS0703;Konyhabútor alsó rész
25331;Irattároló fémszekrény 4 polcos;BS9906;Fém szekrény klf.
25174;Bordó szövet kárpitos görgős szék;BA0401;Íves elem klf.
28826;Étkező asztal 6. személyes;BA0202;Étkező asztal 6. személyes
28788;LED LÁMPA;EE2203;Keresőlámpák
28810;Éjjeli szekrény;BS9903;Éjjeli szekrény
28808;Hauser F-44 Álló ventilátor;EE1302;Álló ventilátor
28993;FAVÁZAS TÁMLÁSSZÉK SZÖVET KÁRPIT.Cseresz;BU0601;Favázas támlásszék
26268;Konyhabútor alsó rész;BS0703;Konyhabútor alsó rész
26280;Kávéfőző, De Longi EC5.1;EH0103;Kávéfőző
26278;Hűtőszekrény, Zanussi ZRG15805WA;EH0204;Háztartási hűtőszekrény
26267;Mikrohullámú sütő, Hausmeister;EH0303;Mikrohullámú sütő klf. egyéb
26281;Hűtőszekrény, Gorenje;EH0204;Háztartási hűtőszekrény
26690;Favázas támlásszék, szövet kárpittal;BU0601;Favázas támlásszék
26685;Tárgyalóasztal;BA0701;Tárgyalóasztal klf.
29188;ADJ-H32 Lövedékálló mellény  XL;EF0406;Rejtett viselésű lövedékálló mellény
29519;Hella fényhíd RTK 7;EE9500;Egyéb műszerek és berendezések
28626;KULCSDOBOZTARTÓ SZEKRÉNY FÉM;BS9912;Kulcstartó szekrény
28992;Étkezőasztal 6 személyes Bükk;BA0202;Étkező asztal 6. személyes
28985;Szarvasi kávéfőző;EH0103;Kávéfőző
28797;Állványos elektromos kézfertőtlenítő;BE0303;Állvány egyéb
31098;1. ajtós polcos szekrény  Bükk;BS0102;1. ajtós szekrény
31096;1. ajtós akasztós szekrény  Bükk;BS0102;1. ajtós szekrény
31092;Favázas támlásszék;BU0601;Favázas támlásszék
31090;íRÓASZTAL 134 CM Bükk;BA0302;Kisméretű íróasztal
31100;1. ajtós felső szekrény  Bükk;BS0501;1. ajtós felső szekrény
31085;Favázas támlásszék Bükk;BU0601;Favázas támlásszék
31166;Tárgyalóasztal Cseresznye;BA0701;Tárgyalóasztal klf.
31049;Görgős irattároló  Bükk;BS0603;Görgős irattároló
31040;1. ajtós  akasztós szekrény Bükk;BS0102;1. ajtós szekrény
26618;Sarok elem;BA0401;Íves elem klf.
1193;Töltő-ürítő lövedékcsapda;EE1011;Lövedékmegfogó berendezés
1282;Fotelágy;BE0107;Fotelágy
1230;Szarvasi kávéfőző;EH0103;Kávéfőző
4170;Laptop - Dell G3 3579;SS03;Laptop
4171;Monitor LG 24BK550Y;SS02;Monitor
4173;Laptop Dell Vostro 15 3000;SS03;Laptop
4201;Laptop - Vostro 15 3568;SS03;Laptop
4202;Laptop - Vostro 3558;SS03;Laptop
4219;Laptop - Inspiron 15 5567;SS03;Laptop
4227;Monitor DELL;SS02;Monitor
4234;Monitor DELL;SS02;Monitor
4264;Laptop - Inspiron 15 5567;SS03;Laptop
4348;Projektor Epson EB-W31;KK01;Projektor
4367;Laptop - Vostro 3590;SS03;Laptop
4368;Laptop - Inspiron 5559;SS03;Laptop
4369;Monitor LG;SS02;Monitor
4398;Laptop DELL Vostro 15 3000;SS03;Laptop
4399;Projektor Epson EB-W31;KK01;Projektor
4402;Monitor AOC;SS02;Monitor
4417;Mosogatógép AEG;EH06;Mosogatógép
4434;Laptop - Inspiron 15 3576;SS03;Laptop
4436;Laptop - Vostro 15 5568;SS03;Laptop
4454;Laptop - XPS 13 9380;SS03;Laptop
4482;Laptop - XPS 13 7390;SS03;Laptop
4529;TP-LINK 8 PORTOS;SH99;Egyéb hálózati eszköz
4543;Laptop DELL Latitude 3520;SS03;Laptop
4552;Laptop - Latitude 3500;SS03;Laptop
4554;Laptop - Inspiron 5558;SS03;Laptop
4555;Laptop - Latitude 3520;SS03;Laptop
4559;Monitor LG;SS02;Monitor
4573;Laptop - Dell G3 15 3590;SS03;Laptop
4588;Laptop - Dell G3 15 3590;SS03;Laptop
4595;Laptop - Vostro 15 3568;SS03;Laptop
4604;Monitor AOC;SS02;Monitor
4605;Monitor Philips;SS02;Monitor
4612;Laptop - Vostro 3558;SS03;Laptop
4615;Cisco Switch;SH99;Egyéb hálózati eszköz
4616;Laptop DELL VOSTRO 15 3000;SS03;Laptop
4629;Monitor - Dell P2419H;SS02;Monitor
4630;Monitor LG;SS02;Monitor
4632;Laptop DELL;SS03;Laptop
4633;Laptop - Vostro 3558;SS03;Laptop
4634;Monitor Philips;SS02;Monitor
4637;Monitor DELL;SS02;Monitor
4638;Számítógép DELL OptiPlex 3070;SS01;Számítógép
4641;Monitor Philips;SS02;Monitor
4644;Laptop - Vostro 15 3568;SS03;Laptop
4653;Laptop Asus;SS03;Laptop
4672;Asztalív;BA04;Kiegészítők asztalhoz
4676;Asztali számítógép - OptiPlex 7020;SS01;Számítógép
4681;Monitor - Dell E2417H;SS02;Monitor
4684;Nyomtató CanonMF4330D;SN01;Nyomtató
4685;Laptop - Vostro 15 3568;SS03;Laptop
4686;Asztali számítógép - OptiPlex 7020;SS01;Számítógép
4690;asztali számítógép dell;SS01;Számítógép
4701;Laptop - Vostro 15 3568;SS03;Laptop
4702;Számítógép DELL OptiPlex 3050;SS01;Számítógép
4704;Számítógép - Dell Optiplex 7020MT;SS01;Számítógép
4705;Nyomtató - Canon;SN01;Nyomtató
4713;Asztali számítógép - OptiPlex 3040;SS01;Számítógép
4715;Laptop - Inspiron 5558;SS03;Laptop
4722;monitor philips;SS02;Monitor
4723;Asztali számítógép - OptiPlex 3050;SS01;Számítógép
4725;Számítógép DELL;SS01;Számítógép
4726;Laptop - Inspiron 5559;SS03;Laptop
4733;Laptop DELL;SS03;Laptop
4734;Asztali számítógép - OptiPlex 3040;SS01;Számítógép
4740;monitor lg;SS02;Monitor
4742;Monitor DELL;SS02;Monitor
4744;Számítógép DELL;SS01;Számítógép
4746;Laptop - Vostro 3558;SS03;Laptop
4747;asztal;BA03;Íróasztal
4758;Monitor Samsung;SS02;Monitor
4760;Számítógép DELL Inspiron 5000;SS03;Laptop
4762;asztali számítógép;SS01;Számítógép
4765;monitor philips;SS02;Monitor
4768;Asztali számítógép - OptiPlex 3040;SS01;Számítógép
4771;Laptop - Vostro 15 3568;SS03;Laptop
4773;Laptop - Inspiron 5559;SS03;Laptop
4775;monitor HP;SS02;Monitor
4782;projector Epson eb-w05;KK01;Projektor
4791;nyomtató canon;SN01;Nyomtató
4797;monitor Samsung;SS02;Monitor
4800;Laptop - Latitude 5520;SS03;Laptop
4802;Laptop - Vostro 3558;SS03;Laptop
4805;görgős konténer 3 fiókos;BS06;Görgős, fiókos szekrény
4816;Asztali számítógép - OptiPlex 3050;SS01;Számítógép
4817;Laptop - Vostro 3558;SS03;Laptop
4818;asztali számítógép dell;SS01;Számítógép
4819;Monitor LG;SS02;Monitor
4820;Monitor AOC;SS02;Monitor
4821;Asztali számítógép - OptiPlex 3050;SS01;Számítógép
4824;Asztali számítógép - OptiPlex 3040;SS01;Számítógép
4829;Monitor AOC;SS02;Monitor
4832;Asztali számítógép - OptiPlex 3050;SS01;Számítógép
4845;monitor dell;SS02;Monitor
4848;Laptop - Latitude 3510;SS03;Laptop
4849;Számítógép DELL;SS01;Számítógép
4852;Asztali számítógép - OptiPlex 3050;SS01;Számítógép
4853;asztali számítógép;SS01;Számítógép
4854;Dell monitor;SS02;Monitor
4855;Asztali számítógép - OptiPlex 3050;SS01;Számítógép
4857;monitor dell;SS02;Monitor
4862;Laptop - Vostro 15 3568;SS03;Laptop
4864;Laptop - Vostro 3558;SS03;Laptop
4866;laptop Acer travel mate b11u;SS03;Laptop
4868;Laptop;SS03;Laptop
4869;Notebook;SS03;Laptop
4871;Laptop Asus Inspiron;SS03;Laptop
4879;Laptop - Vostro 15 3568;SS03;Laptop
4881;Asztali számítógép - OptiPlex 3040;SS01;Számítógép
4882;Asztali számítógép - OptiPlex 3040;SS01;Számítógép
4893;Asztali számítógép - OptiPlex 3040;SS01;Számítógép
4896;Asztali számítógép - OptiPlex 3040;SS01;Számítógép
4901;forgószék;BU02;Forgószék
4906;íróasztal jobbos;BA03;Íróasztal
4908;konténer fiókos;BS06;Görgős, fiókos szekrény
4911;szék kárpitos karfás;BU01;Szék
4914;szék karfás kárpitos;BU01;Szék
4918;íróasztal balos;BA03;Íróasztal
4919;Asztali számítógép - OptiPlex 7020;SS01;Számítógép
4922;monitor aoc;SS02;Monitor
4945;Laptop - Vostro 15 3568;SS03;Laptop
4965;Laptop - Inspiron 5558;SS03;Laptop
4966;Asztali számítógép - OptiPlex 3050;SS01;Számítógép
4969;Asztali számítógép;SS01;Számítógép
4970;Asztali számítógép;SS01;Számítógép
4972;Asztali számítógép;SS01;Számítógép
4976;Asztali számítógép - OptiPlex 3080;SS01;Számítógép
4979;asztali számítógép dell;SS01;Számítógép
4980;Monitor LG;SS02;Monitor
4985;Monitor ASUS;SS02;Monitor
4987;Monitor LG;SS02;Monitor
4991;Monitor LG;SS02;Monitor
5000;laptop hp;SS01;Számítógép
5002;laptop Dell inspiron;SS03;Laptop
5005;asztali számítógép aplle Mac mini;SS01;Számítógép
5007;Laptop - Vostro 3558;SS03;Laptop
5008;Laptop - Vostro 3558;SS03;Laptop
5009;Laptop - Vostro 3558;SS03;Laptop
5012;Laptop - Inspiron 15R N5110;SS03;Laptop
5015;Laptop HP Compaq 6115b;SS03;Laptop
5016;Laptop - HP ;SS03;Laptop
5021;Laptop - Inspiron 5558;SS03;Laptop
5022;Laptop - Vostro 15 3568;SS03;Laptop
5026;Számítógép DELL;SS01;Számítógép
5028;Számítógép DELL;SS01;Számítógép
5038;Laptop - Vostro 3558;SS03;Laptop
5042;szék karfás kárpitos;BU01;Szék
5047;asztali kör;BA07;Tárgyaló asztal
5048;D-LINK Switch 8 portos;SH99;Egyéb hálózati eszköz
5056;DELL EMC STORAGE SCV3020;SH99;Egyéb hálózati eszköz
5057;DELL STORAGE;SH99;Egyéb hálózati eszköz
5059;tárgyalóasztal íves véggel;BA07;Tárgyaló asztal
5061;projektor BenQ;KK01;Projektor
5064;DELL POWERVAULT 114X;SH99;Egyéb hálózati eszköz
5065;tv LG;KV02;LCD televízió TV
5067;DELL STORAGE POWEREDGE;SH99;Egyéb hálózati eszköz
5070;DELL STORAGE POWEREDGE;SH99;Egyéb hálózati eszköz
5071;forgószék;BU02;Forgószék
5073;íróasztal;BA03;Íróasztal
5076;Szerver - PowerEdge R530;SH99;Egyéb hálózati eszköz
5109;forgószék;BU02;Forgószék
5125;Asztal;BA03;Íróasztal
5128;Konténer;BS06;Görgős, fiókos szekrény
5138;Cisco Switch;SH99;Egyéb hálózati eszköz
5146;Monitor Philips;SS02;Monitor
5148;nyomtató kryocera m2030dn;SN01;Nyomtató
5168;Kávéfőző De'Longhi;EH01;Kávéfőző
5169;Mikrohullámú sütő SHARP;EH03;Mikrohullámú sütő
5180;Monitor DELL;SS02;Monitor
5182;Monitor DELL;SS02;Monitor
5187;asztali számítógép;SS01;Számítógép
5203;Monitor DELL;SS02;Monitor
5204;asztali számítógép;SS01;Számítógép
5205;Monitor - Dell P2419H;SS02;Monitor
5206;Monitor - Dell P2419H;SS02;Monitor
5208;Monitor - Dell P2419H;SS02;Monitor
5211;Laptop - Inspiron 5559;SS03;Laptop
5213;Laptop - Vostro 3590;SS03;Laptop
5216;Laptop - Vostro 15 3568;SS03;Laptop
5219;projektor Epson eb-w05;KK01;Projektor
5224;monitor DELL;SS02;Monitor
5228;Dell Monitor;SS02;Monitor
5233;Laptop - Vostro 3558;SS03;Laptop
5239;laptop DELL Latitude 3510;SS03;Laptop
5248;Laptop - Vostro 15 5568;SS03;Laptop
5249;mobiltelefon Huawei p40 light;KT04;Mobiltelefon
5252;Switch MikroTik could swich;SH99;Egyéb hálózati eszköz
5254;Switch hp;SH99;Egyéb hálózati eszköz
5283;Laptop - Vostro 3558;SS03;Laptop
5284;Laptop - Vostro 3558;SS03;Laptop
5285;Laptop - Vostro 3558;SS03;Laptop
5286;Laptop - Vostro 3558;SS03;Laptop
5288;Laptop - Vostro 3558;SS03;Laptop
5289;Laptop - Vostro 3558;SS03;Laptop
5290;Laptop - Vostro 3558;SS03;Laptop
5291;Laptop - Vostro 3558;SS03;Laptop
5292;Laptop - Vostro 3558;SS03;Laptop
5293;Laptop - Vostro 3558;SS03;Laptop
5294;Laptop - Vostro 3558;SS03;Laptop
5295;Laptop - Vostro 3558;SS03;Laptop
